referencia,estado,fuente,doi,titulo_encontrado,autor_encontrado,anio_referencia,anio_encontrado,retractada,score_titulo,detalle
"Eden, C., and H. Dietze, 2009: Effects of mesoscale eddy/wind interactions on biological new production and eddy kinetic energy. J. Geophys. Res., 114, C05023, https://doi.org/10.1029/2008JC005129.",VERIFICADA,Crossref,10.1029/2008jc005129,Effects of mesoscale eddy/wind interactions on biological new production and eddy kinetic energy,Eden,2009,2009,NO,1.0,
"Ma B L, Lang S F, Zhang K J. The network structure of gutta-perch filaments in the leaves of Eucommia ulmoides (in Chinese). J Northwest For Coll, 1996, 11: 10–13 [马柏林, 梁淑芳, 张康健. 杜仲叶橡胶丝网络结构的研究. 西北林学院学报, 1996, 11: 10–13].",NO VERIFICABLE,,,,,1996,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Newman, John Kevin, and Frances Stickney Newman. 2005. Troy’s Children: Lost Generations in Virgil’s Aeneid. Hildesheim, Zürich, and New York: Georg Olms Verlag.",NO VERIFICABLE,,,,,2005,,,0.43,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Liu W, Bai Y, Zhou L, Jin J, Zhang M, Wang Y, et al. Discovery of LWY713 as a potent and selective FLT3 PROTAC degrader with in vivo activity against acute myeloid leukemia. Eur J Med Chem. 2024;264:115974.",VERIFICADA,Crossref,10.1016/j.ejmech.2023.115974,Discovery of LWY713 as a potent and selective FLT3 PROTAC degrader with in vivo activity against acute myeloid leukemia,Liu,2024,2024,NO,1.0,
Bhattacharya S. (2021 May 22). Scribe who alerted about Bhopal gas leak dies of Covid. The Sunday Guardian. https://sundayguardianlive.com/news/scribe-alerted-bhopal-gas-leak-dies-covid,NO VERIFICABLE,,,,,2021,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"A.Berkessel and H.Gröger , Asymmetric Organocatalysis: from biomimetic concepts to applications in asymmetric synthesis , Wiley-VCH , Weinheim , 2006",VERIFICADA,Crossref,10.1002/3527604677,Asymmetric Organocatalysis,Berkessel,2006,2005,NO,1.0,
"Скурихина И.М., Тутельян В.А. Химический состав российских пищевых продуктов. М.: ДеЛиПринт, 2002. 236 с., Skurihina I.M., Tutel'yan V.A. Himicheskij sostav rossijskih pischevyh produktov. M.: DeLiPrint, 2002. 236 s.",NO VERIFICABLE,,,,,2002,,,0.18,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Li S, Li N, Chen Y, Zheng Z, Guo Y. FLT3-TKD in the prognosis of patients with acute myeloid leukemia: a meta-analysis. Front Oncol. 2023;13:1086846.",VERIFICADA,Crossref,10.3389/fonc.2023.1086846,FLT3-TKD in the prognosis of patients with acute myeloid leukemia: A meta-analysis,Li,2023,2023,NO,1.0,
"(2023, September 28). Central Committee of the Communist Party of China, State Council, Available online: http://www.lswz.gov.cn/html/xinwen/2023-02/13/content_273655.shtml.",METADATOS DUDOSOS,Crossref,10.1016/b978-0-08-022983-6.50044-9,ON THE SEPTEMBER MEETING –CIRCULAR OF THE CENTRAL COMMITTEE OF THE COMMUNIST PARTY OF CHINA*,,2023,1961,NO,0.75,Año citado (2023) no coincide con el registrado (1961)
"Markomichali P (2015) Learning to wait: the development and initial evaluation of a training intervention designed to help impulsive preschool children at risk for ADHD learnt to wait for rewards. Dissertation, University of Southampton",NO VERIFICABLE,,,,,2015,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
M. J. Frisch G. W. Trucks H. B. Schlegel G. E. Scuseria M. A. Robb J. R. Cheeseman G. Scalmani V. Barone G. A. Petersson H. Nakatsuji X. Li M. Caricato A. V. Marenich J. Bloino B. G. Janesko R. Gomperts B. Mennucci H. P. Hratchian J. V. Ortiz A. F. Izmaylov J. L. Sonnenberg Williams F. Ding F. Lipparini F. Egidi J. Goings B. Peng A. Petrone T. Henderson D. Ranasinghe V. G. Zakrzewski J. Gao N. Rega G. Zheng W. Liang M. Hada M. Ehara K. Toyota R. Fukuda J. Hasegawa M. Ishida T. Nakajima Y. Honda O. Kitao H. Nakai T. Vreven K. Throssell J. A. Montgomery Jr. J. E. Peralta F. Ogliaro M. J. Bearpark J. J. Heyd E. N. Brothers K. N. Kudin V. N. Staroverov T. A. Keith R. Kobayashi J. Normand K. Raghavachari A. P. Rendell J. C. Burant S. S. Iyengar J. Tomasi M. Cossi J. M. Millam M. Klene C. Adamo R. Cammi J. W. Ochterski R. L. Martin K. Morokuma O. Farkas J. B. Foresman D. J. FoxWallingford CT 2010.,NO VERIFICABLE,,,,,2010,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Dagenais Lespérance, J. (2021). « Aille. Aille. Aille. Y’a du pain sur la planche » : expériences et perspectives étudiantes sur les liens entre le travail social et l’environnement dans la formation en travail social au Québec [mémoire de maîtrise, Université de Montréal].",NO VERIFICABLE,,,,,2021,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Sullivan, J. and Hussain, B. (2020), “How technology unlocks new value from the circular economy”, available at:www.greenbiz.com/article/how-technology-unlocks-new-value-circular-economy (accessed10 June 2023).",VERIFICADA,Crossref,10.1002/9781119777076.ch10,Circular Economy and Construction,,2020,2020,NO,0.67,
"Erickson NJ, Mooney JH, Walters BC, Agee B, Fisher WS. The validity of the Koos classification system with respect to facial nerve function. Neurosurgery. 2021;88(6):E523–E528.",VERIFICADA,Crossref,10.1093/neuros/nyab086,The Validity of the Koos Classification System With Respect to Facial Nerve Function,Erickson,2021,2021,NO,1.0,
"J. Cooper et al., Transfer pricing and developing economies: A Handbook for policymakers and practitioners, World Bank Publications (2017).",VERIFICADA,Crossref,10.1596/978-1-4648-0969-9_ch8,Developing a Transfer Pricing Audit Program,Cooper,2017,2017,NO,0.6,
Lumley T.(2019).mitools: Tools for Multiple Imputation of Missing Data.https://CRAN.R‐project.org/package=mitools,METADATOS DUDOSOS,Crossref,10.32614/cran.package.mitools,mitools: Tools for Multiple Imputation of Missing Data,,2019,2004,NO,1.0,Año citado (2019) no coincide con el registrado (2004)
"Berne, E. (1947). The Mind in Action. New York: Simon and Schuster.",NO VERIFICABLE,,,,,1947,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Liu, Y., Q. Zhu, J. Huang, S. Hua, and R. Jia, 2019: Impact of dust-polluted convective clouds over the Tibetan Plateau on downstream precipitation. Atmos. Environ., 209, 67–77, https://doi.org/10.1016/j.atmosenv.2019.04.001.",VERIFICADA,Crossref,10.1016/j.atmosenv.2019.04.001,Impact of dust-polluted convective clouds over the Tibetan Plateau on downstream precipitation,Liu,2019,2019,NO,1.0,
"Afuso H, Matsubara H (2019). Development of rock outcrops inspection system using UAV and VR technology. ISRM Young Scholars Symposium on Rock Mechanics",NO VERIFICABLE,,,,,2019,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Zakonodavstvo Ukrayiny [Legislation of Ukraine:] Available at: https://zakon.rada.gov.ua/(accessed March 1, 2024)",NO VERIFICABLE,,,,,2024,,,0.09,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Düker, M.-C., Matteson, D.S., Tsay, R.S., and Wilms, I. (2024). Vector autoregressive moving average models: A review. arXiv.",VERIFICADA,Crossref,10.1002/wics.70009,Vector <scp>AutoRegressive</scp> Moving Average Models: A Review,Düker,2024,2025,NO,1.0,
"Salman, A. (2019). Effect of capital structure on corporate liquidity and growth: Evidence from tobacco industry in Pakistan. Academy of Strategic Management Journal, 18(2), 1–20.",METADATOS DUDOSOS,Crossref,10.7176/rjfa/13-8-04,Effect of Capital Structure on Liquidity and Growth: Evidence from the Nigerian Manufacturing Industry,,2019,2022,NO,0.8,Año citado (2019) no coincide con el registrado (2022)
"CHOURASIA, A., & KUMAR, R. Investigation Of Anti-Ulcer Activities By Using Indomethacine Induced & Cold-Water Restraint Procedure In Experimental Rat: Meta Analysis.",NO VERIFICABLE,,,,,,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Dung, N.B., Nguyen, H.Q., Elliott, J., KeepLearning, Nguyen, T.N., and Culliton, P., VinBigData chest X-ray abnormalities detection: Automatically localize and classify thoracic abnormalities from chest radiographs, Kaggle, 2020. https://www.kaggle.com/c/vinbigdata-chest-xray-abnormalities-detection.",NO VERIFICABLE,,,,,2020,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Hoffman CL, Spencer TG, Makolinski KV. Assessing the impact of a virtual shelter medicine rotation on veterinary students’ knowledge, skills, and attitudes regarding access to veterinary care. Front Vet Sci. 2021;8:783233. doi:10.3389/fvets.2021.783233",VERIFICADA,Crossref,10.3389/fvets.2021.783233,"Assessing the Impact of a Virtual Shelter Medicine Rotation on Veterinary Students' Knowledge, Skills, and Attitudes Regarding Access to Veterinary Care",Hoffman,2021,2021,NO,1.0,
"Jalili, A., Gheisari, M., Alzubi, J. A., Fernández-Campusano, C., Kamalov, F., & Moussa, S. (2024). A novel model for efficient cluster head selection in mobile wsns using residual energy and neural networks. Measurement: Sensors, 33, 101144.",VERIFICADA,Crossref,10.1016/j.measen.2024.101144,A novel model for efficient cluster head selection in mobile WSNs using residual energy and neural networks,Jalili,2024,2024,NO,1.0,
"Shenhav, Y. 2005. “On Hybridization and Purification: Orientalism as a Broad Margined Discourse.” Theory and Criticism 26: 5–11. (in Hebrew)",NO VERIFICABLE,,,,,2005,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Pekşen, M. F., Uyaroğlu, Y., &Soyhan, H. S. (2020). İstanbul, Ankara ve Sakarya illerinin 2018 yılı itfaiye olaylarının karşılaştırılması. Uluslararası Yakıtlar Yanma ve Yangın Dergisi, (8), 1-19.",NO VERIFICABLE,,,,,2020,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Rani, R. S., & Raju, A. J. S. (2020). Reproductive ecology of nutritionally important perennial climber Canavalia gladiata (Fabaceae: Faboideae). Phytologia Balcanica, 26(1), 43–55.",NO VERIFICABLE,,,,,2020,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Quinn, Michael, ‘Jeremy Bentham on Physical Disability: A Problem for Whom?,' Review of Disability Studies (8.4 (2014)",NO VERIFICABLE,,,,,2014,,,0.8,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Internal Security Act of 1950 (1950), U.S. National Archives.",METADATOS DUDOSOS,Crossref,10.4135/9781604265774.n709,Internal Security Act of 1950,,1950,2009,NO,1.0,Año citado (1950) no coincide con el registrado (2009)
(2009). Textiles—Normal Climates for Acclimatization and Testing (Standard No. PN-EN ISO 139:2006).,VERIFICADA,Crossref,10.3403/03214221u,Textiles. Standard atmospheres for conditioning and testing,,2009,,NO,0.6,
"Marfell-Jones, M.J., Stewart, A., and De Ridder, J. (2012). International Standards for Anthropometric Assessment, International Society for the Advancement of Kinanthropometry.",NO VERIFICABLE,,,,,2012,,,1.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Jones, N. N., & Williams, M. F. (2020). The just use of imagination: A call to action. ATTW. https://attw.org/blog/the-just-use-of-imagination-a-call-to-action/",VERIFICADA,Crossref,10.18574/nyu/9781479802685.003.0009,6 A CALL TO NATIONAL ACTION,,2020,2022,NO,0.67,
"Bławat, Anastazy. 1999. „Wielodzietność”. W: Słownik Małżeństwa i Rodziny (SłMR), red. Edward Ozorowski, oprac. Bożena Bassa i in., 456-467. Warszawa-Łomianki: Wydawnictwo Akademii Teologii Katolickiej, Fundacja Pomoc Rodzinie. Toż. „Ogólna charakterystyka”. SłMR, 456-466. Toż. „Aspekt wychowawczy”. SłMR, 466-467.",NO VERIFICABLE,,,,,1999,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Rottenberg, Josh. 2016. “Inside the Increasingly Competitive World of Fan Filmmaking: Will $1 Million Budgets Ruin the Fun?” Los Angeles Times, July 20, 2016. https://www.latimes.com/entertainment/movies/la-et-mn-comic-con-fan-filmmaking-20160713-snap-story.html.",NO VERIFICABLE,,,,,2016,,,0.09,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Brizita, D.I., and Nevena, I.D. (2022). Advances in Precision Nutrition, Personalization and Healthy Aging, Springer.",NO VERIFICABLE,,,,,2022,,,0.62,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
(2021). Sustainability of Construction Works—Environmental Product Declarations—Core Rules for the Product Category of Construction Products (Standard No. EN 15804:2012+A2:2019/AC:2021).,VERIFICADA,Crossref,10.3403/30424272,Sustainability of construction works. Environmental product declarations. Core rules for the product category of construction products,,2021,,NO,1.0,
"de Oteiza, M.B.M., Kalla, S., Conde, S.: Un estudio sobre la función Lommel-Maitland. Rev. Téc. Fac. Ing., Univ. Zulia 9(2), 33–40 (1986)",NO VERIFICABLE,,,,,1986,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Abraham R, Benitz KF, Mankes RF, Rosenblum I, Ringwood N. Studies on rhesus monkeys (Macaca mulatta) receiving native carrageenan (Chondrus crispus) orally for 7.5 years. Book 1. Unpublished summary of final report from Institute of Experimental Pathology and Toxicology, Albany Medical College Submitted to WHO by RJH Gray, International Food Additives Council, Atlanta, Georgia, USA and P Couchoud, Marinalg, Paris, France. 1983.",NO VERIFICABLE,,,,,1983,,,0.29,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Latney, L.V., Toddes, B.D., Wyre, N.R., Brown, D.C., Michel, K.E. and Briscoe, J.A., 2017. Effects of various diets on the calcium and phosphorus composition of mealworms (Tenebrio molitor larvae) and superworms (Zophobas morio larvae). American Journal of Veterinary Research 78: 178-185. https://doi.org/10.2460/ajvr.78.2.178",VERIFICADA,Crossref,10.2460/ajvr.78.2.178,Effects of various diets on the calcium and phosphorus composition of mealworms (Tenebrio molitor larvae) and superworms (Zophobas morio larvae),Latney,2017,2017,NO,1.0,
"Conejero, C., L. Renault, F. Desbiolles, J. C. McWilliams, and H. Giordani, 2024: Near-surface atmospheric response to meso- and submesoscale current and thermal feedbacks. J. Phys. Oceanogr., 54, 823–848, https://doi.org/10.1175/JPO-D-23-0211.1.",VERIFICADA,Crossref,10.1175/jpo-d-23-0211.1,Near-Surface Atmospheric Response to Meso- and Submesoscale Current and Thermal Feedbacks,Conejero,2024,2024,NO,1.0,
"Sidani S, Soeren MH, Hurlock-Chorostecki C, Reeves S, Fox MT, Collins LC. Health professionals’ and patients’ perceptions of patient-centered care: a comparison. Eur J Person Centered Healthc. 2016;4:641–9.",VERIFICADA,Crossref,10.1037/t35914-000,Patient Centered Care Measure,Sidani,2016,2014,NO,0.75,
伊藤友哉，峯岸邦夫，山中光一：ジオセル補強路盤の支持力に及ぼす材料特性の影響，第51回地盤工学研究発表会発表講演集，pp.1577-1578，2016.,NO VERIFICABLE,,,,,2016,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"G Herzberg Infrared and Raman Spectra of Polyatomic MolecNEes, (New York: Van Nostrand-Reinhold) p 632 (1945)",NO VERIFICABLE,,,,,1945,,,0.73,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"SAFFIOTI, Heleieth. Gênero, patriarcado, violência. 2. reimp. São Paulo: Perseu Abramo, 2015.",NO VERIFICABLE,,,,,2015,,,0.75,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Owolabi OJ, Omagbai EKI. Analgesiac and anti-inflammatory activities of the ethanolic stem bark extract of Kigelia africana (Bignoivaceae). Afr. J. Biotechnol., 2007; 6: 582-589.",METADATOS DUDOSOS,Crossref,10.24214/jcbps.b.10.3.41025,Anti-Inflammatory and anti-arthritic activity of ethanolic extract of stem bark of saraca asoca,,2007,2020,NO,0.64,Año citado (2007) no coincide con el registrado (2020)
World Health Organization. (2020)Nursing and midwifery personnel density (per 1000 population).https://www.who.int/data/gho/data/indicators/indicator‐details/GHO/nursing‐and‐midwifery‐personnel‐(per‐10‐000‐population),METADATOS DUDOSOS,Crossref,10.18356/9789210025126c013,Health personnel: Number of health workers and workforce density (per 1 000 population),,2020,2023,NO,0.62,Año citado (2020) no coincide con el registrado (2023)
"Sale JEM, Gignac M, Hawker G. The relationship between disease symptoms, life events, coping and treatment, and depression among older adults with osteoarthritis. J Rheumatol. 2008;35(2):335–42.",NO VERIFICABLE,,,,,2008,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
NEA (2012) Methods for safety assessment of geological disposal facilities for radioactive waste,VERIFICADA,Crossref,10.1787/9789264991903-en,Methods for Safety Assessment of Geological Disposal Facilities for Radioactive Waste,,2012,2012,NO,1.0,
"<small>ANDERSON, S. C.</small>, <small>EDWARDS, A. M.</small>, <small>YERLANOV, M.</small>, <small>MULBERRY, N.</small>, <small>STOCKDALE, J. E.</small>, <small>IYANIWURA, S. A.</small>, <small>FALCAO, R. C.</small>, <small>OTTERSTATTER, M. C.</small>, <small>IRVINE, M. A.</small> et al. (2020). Quantifying the impact of COVID-19 control measures using a Bayesian model of physical distancing. <i>PLoS Comput. Biol.</i> <b>16</b> 1–15.",VERIFICADA,Crossref,10.1002/smll.202070082,Masthead: (Small 15/2020),,2020,2020,NO,0.67,
"E. Di Valentino et al., Snowmass 2021—letter of interest cosmology intertwined II: the Hubble constant tension. Astropart. Phys. 131, 102605 (2021). arXiv:2008.11284 [astro-ph.CO]",METADATOS DUDOSOS,Crossref,10.1007/978-981-99-0177-7,The Hubble Constant Tension,,2021,2024,NO,1.0,Año citado (2021) no coincide con el registrado (2024)
"ASCE, 2021. Stormwater [WWW Document]. ASCE’s 2021 Infrastructure Report Card |. URL https://infrastructurereportcard.org/cat-item/stormwater-infrastructure/ (accessed 7.23.23).",NO VERIFICABLE,,,,,2021,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
World Triathlon. Competition rules 2023. https://www.triathlon.org/uploads/docs/World-Triathlon_Competition-Rules_2023_20221122.pdf,NO VERIFICABLE,,,,,2023,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Price, M. (2024, August 12). Baltimore’s Sewage Issues Are Rooted in Racial Injustice. Available online: https://bluewaterbaltimore.org/blog/baltimores-sewage-issues-are-rooted-in-racial-injustice/.",NO VERIFICABLE,,,,,2024,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Chisholm, P. M. Theory of Knowledge India: prentice-Hall, edd. 2, Inc., 4.1P, 1987.",NO VERIFICABLE,,,,,1987,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Yagci I, Avci S. Biochemical predictors in presentations to the emergency department after a suicide attemp. Bratisl Lek Listy. 2021;122:224–9.",VERIFICADA,Crossref,10.4149/bll_2021_012,Biochemical predictors in presentations to the emergency department after a suicide attemp,Yagci,2021,2021,NO,1.0,
"AVMA is urged to address veterinarian shortage. Today’s Veterinary Business. Published January 17, 2022. Accessed February 9, 2023. https://todaysveterinarybusiness.com/avma-veterinary-shortage-letter/",NO VERIFICABLE,,,,,2022,,,0.25,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Pudwell, L., Smith, R.: Two-stack-sorting with pop stacks. Australas. J. Combin. 74, 179–195 (2019)",NO VERIFICABLE,,,,,2019,,,0.67,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Schueco ProSol BIPV system for façade integration, http://www.schueco.com/web/uk/architekten/solarstrom_und_waerme/products/photovoltaics/fassadenmodul_prosol_tf, [2013/06/11]",NO VERIFICABLE,,,,,2013,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"URL 2, https://www.mevzuat.gov.tr/MevzuatMetin/21.5.200712937.pdf (Last accesed: 07.12.2023) URl 3, www.ctif.org/sites/ default/files/ctif_report22_world_fire_statistics_2017.pdf (Last accesed: 23.11.2023)",NO VERIFICABLE,,,,,2023,,,0.19,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"P. Rapapor and Y.-H. Lai, Vol. U.S. Patent No. 8,415,076. (Ed.: G. G. T. O. LLC), 2013..",NO VERIFICABLE,,,,,2013,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"BenYishay, Ariel, Renee Rotberg, Jessica Wells, Zhonghui Lv, Seth Goodman, Lidia Kovacevic, and Dan Runfola. 2017. “Geocoding Afrobarometer Rounds 1-6: Methodology & Data Quality.” Available online at http://geo.aiddata.org.",NO VERIFICABLE,,,,,2017,,,0.13,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Vidu, R.; Prodana, M.; Golgovici, F.; Negru, A.; Bojin, D.; Enachescu, M. InFe-Doped CoSb3Nanowires Using Electrochemical Methods, 37th Congress American Academy of Arts and Sciences: Chisinau, Republic of Moldavia, 2013.",NO VERIFICABLE,,,,,2013,,,0.0,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Cecati, C., Tommaso, A.O.D., Genduso, F., Miceli, R., Galluzzo, G.R.: Comprehensive modeling and experimental testing of fault detection and management of a nonredundant fault-tolerant VSI. IEEE Trans. Ind. Electron. 62(6), 3945–3954 (2015)",VERIFICADA,Crossref,10.1109/tie.2015.2402645,Comprehensive Modelling and and Experimental Testing of Fault Detection and Management of a Non-Redundant Fault-Tolerant VSI,Genduso,2015,2015,NO,0.8,
"Sriramachari, S. (2004). The Bhopal gas tragedy: An environmental disaster. Current Science, 86(7), 905–920. http://www.jstor.org/stable/24109273",NO VERIFICABLE,,,,,2004,,,0.44,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"6.Anatomical Aspect of Snayu; Ayurveda and Modern Perspectives Sravanti S. Tondchirkar Amit K. Bairag, Himalayan Journal of Health Sciences 2022",NO VERIFICABLE,,,,,2022,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"The IN, African WHO. HIV/AIDS: FRAMEWORK FOR ACTION IN THE WHO AFRICAN REGION, 2016 - 2020: End HIV / Aids By 2030. 2020:2016–2020.",NO VERIFICABLE,,,,,2016,,,0.11,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"André, C. (2016). August. Household debt in OECD countries: Stylised facts and policy issues. In The Narodowy Bank Polski Workshop: Recent Trends in the Real Estate Market and Its Analysis-2015 Edition. https://ssrn.com/abstract=2841634",VERIFICADA,Crossref,10.1787/5jm3xgtkk1f2-en,Household debt in OECD countries,,2016,2016,NO,1.0,
"Hussain, M. (2005). Mass media. In Memon, R. A., & Bashir, E. (Eds.), Extension Methods (3rd ed., pp. 208-261). Islamabad, Pakistan.",NO VERIFICABLE,,,,,2005,,,0.17,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"COLMAN, Diego Armando Lopes. As Trilhas Interpretativas como Atividades de Educação Ambiental. 2017. Dissertação (Mestrado em Ensino de Ciências e Educação Matemática) – Universidade Estadual de Londrina, Londrina.",NO VERIFICABLE,,,,,2017,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Williams, R. Deryck, ed. 1972. The Aeneid of Virgil, Books I-VI. London: Macmillan.",METADATOS DUDOSOS,Crossref,10.2307/4386989,Virgil's Aeneid. Books I-VI,Cleasby,1972,1914,NO,1.0,Año citado (1972) no coincide con el registrado (1914)
"Prasetya, W., & Yulius, C. (2018). Pengaruh kualitas produk dan citra merek terhadap kepuasan konsumen dan minat beli ulang: Studi pada Produk Eatlah. Jurnal Teknologi, 11(2), 92–100.",NO VERIFICABLE,,,,,2018,,,0.91,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
Chochiev G. On the History of the North Caucasian Diaspora in Turkey // Iran &amp; the Caucasus.&nbsp;&ndash;&nbsp; 2007.&nbsp;&ndash;&nbsp; № 2 (11).&nbsp;&ndash;&nbsp; R. 213-226.,METADATOS DUDOSOS,Crossref,10.2139/ssrn.5387594,Use of Technology in Education&amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp; &amp;nbsp;,Lanka,2007,2025,NO,0.98,Año citado (2007) no coincide con el registrado (2025)
The European Network on Invasive Alien Species (2023) April 8. https://www.eea.europa.eu/,NO VERIFICABLE,,,,,2023,,,0.75,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Correia, M.D.; Sovierzoski, H.H. 2005. Ecossistemas Marinhos: Recifes, Praias e Manguezais; Edufal Maceió.",NO VERIFICABLE,,,,,2005,,,0.38,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Joo MS, Kim WD, Lee KY, Kim JH, Koo JH, Kim SG. AMPK facilitates nuclear accumulation of Nrf2 by phosphorylating at serine 550. Mol Cell Biol. 2016;1931:42.",VERIFICADA,Crossref,10.1128/mcb.00118-16,AMPK Facilitates Nuclear Accumulation of Nrf2 by Phosphorylating at Serine 550,Joo,2016,2016,NO,1.0,
